// # Language: English
altar_category_armor|Armour
altar_category_key_items|Key Items
altar_category_materials|Materials
altar_category_weapon|Weapon
altar_title|Altar
barracks_depart|Are you sure you want to depart?
barracks_lvl|Lvl
barracks_stat_attackspeed|Attack speed
barracks_stat_burnchance|Burn chance
barracks_stat_critchance|Crit chance
barracks_stat_damage|Damage
barracks_stat_exp|Experience
barracks_stat_freezechance|Freeze chance
barracks_stat_hp|HP
barracks_stat_knockbackchance|Knockback chance
barracks_stat_level|Level
barracks_stat_staggerchance|Stagger chance
barracks_unit_status|Unit Status
barracks_yaripon|Yaripon
credits_all|And everyone who ever supported the project! Thank you!
credits_animators|Animators
credits_artists|Artists
credits_community|Community managers
credits_creator|Project creator
credits_gameplay|Gameplay balance
credits_musicians|Musicians
credits_programmers|Programmers
credits_special|Special thanks
credits_supporters|Supporters
credits_translators|Translators
credits_writers|Writers
desc_banal_branch|A basic wooden branch. Though it may just be a simple piece of wood, an enterprising patapon can find many uses for these, from an axe handle to a tent-pole.
desc_chaka_drum|Great Drum of Wisdom.
desc_cherry_blossom|According to legend, the ancient colossal cherry trees that this hardwood branch comes from in the East are resting deities.
desc_christmas_charm_2020|Holding this charm in your inventory grants you luck for the entire year! Thank you for participating in Patafour Winter Event 2020!
desc_digital_blueprint|A blueprint found inside a Kirajin hut at Patapine Grove. It shows the location of a to-be constructed Kirajin fortress.
desc_don_drum|Great Drum of Miracles. This drum's beat is said to have the power to bring Almighty's will into being.
desc_dream_meat|This legendary marbled meat melts like cotton candy, but Patapons prefer a heartier meal. Patapons who taste this delicacy everyday are granted to have happy and peaceful lifes.
desc_gashirin_bone|A large, sturdy bone. It is written that our ancient ancestors once used these bones as weapons.
desc_gizaza_fang|The tip of this fang contains countless tiny barbs. Anyone pierced by this fang will pay a terrible price trying to remove it. Even the most skilled Patapon medics struggle to get this fang out of one's body.
desc_hard_iron|Much blood has been spilled in conflicts surrounding this rare metal according to Zigoton myths. Patapon stories tell of how ancestors used to take hard iron from the inside of mountains, but the secret to this has been lost to the ages.
desc_hinoki|Legends say that even the Mighty Great Patapon's home is made up of this sacred Hinoki timber. Patapons feel relieved and rested when they come inside buildings made of this precious wood.
desc_iron_helmet|This helmet, made from precious iron, mimics the standard-issue design of the Wooden Helmet, but provides more protection.
desc_iron_spear|A tough iron spear. Patapons prize these becasue they are heavier and deal more damage. However, they require a stronger warrior to throw competently.
desc_itete_fang|A large fang boasting a very sharp point. It's long been said that you can know a hunter's true skill by how many of these he's had to remove from his neck.
desc_kacheek_helm|This helmet, fashioned from the pelt and fur of a Kacheek, keeps the wearer safe from harm. It also keeps the wearer's eye quite warm and cozy.
